"","Word","Length","Freq_KF","Freq_HAL","SUBTLWF","Ortho_N","Phono_N","NSyll","NMorph","I_Mean_RT","I_Zscore","Obs","I_Mean_Accuracy"
"5034","MONEL",5,"#","12","#",6,1,"2","#","#","#","#","#"
"5035","MONGI",5,"#","0","#",1,0,"#","#","#","#","#","#"
"5036","MONIC",5,"#","14","0.040",5,7,"2","1","#","#","#","0.61"
"5037","monos",5,"#","174","0.310",1,2,"2","2","#","#","#","#"
"5038","moots",5,"#","49","#",12,22,"1","#","#","#","#","#"
"5039","mopes",5,"#","17","0.390",15,15,"1","2","#","#","#","#"
"5040","morns",5,"#","20","#",5,8,"1","2","#","#","#","#"
"5041","motes",5,"#","56","0.020",17,21,"1","2","#","#","#","#"
"5042","motet",5,"1","37","0.020",3,2,"2","1","#","#","#","#"
"5043","MOUGH",5,"#","1","#",10,0,"#","#","#","#","#","0.94"
"5044","moult",5,"#","26","#",2,13,"1","1","#","#","#","#"
"5045","MOUNE",5,"#","1","#",3,0,"#","#","#","#","#","#"
"5046","mucks",5,"#","144","0.080",13,25,"1","2","#","#","#","#"
"5047","muffs",5,"#","223","0.040",8,14,"1","2","#","#","#","#"
"5048","mufti",5,"1","192","#",0,1,"2","1","#","#","#","#"
"5049","mulct",5,"1","0","#",1,4,"1","1","#","#","#","#"
"5050","mulls",5,"#","15","#",12,21,"1","2","#","#","#","#"
"5051","MUNDT",5,"#","68","#",0,5,"1","#","#","#","#","#"
"5052","MUNOZ",5,"#","447","#",0,0,"2","#","#","#","#","#"
"5053","MUONG",5,"#","9","#",0,0,"#","#","#","#","#","#"
"5054","MURAT",5,"#","802","#",1,0,"2","#","#","#","#","#"
"5055","MUSEE",5,"#","125","#",2,1,"2","#","#","#","#","#"
"5056","MUSHR",5,"#","0","#",1,0,"#","#","#","#","#","#"
"5057","MUSTA",5,"#","294","#",3,0,"#","#","#","#","#","#"
"5058","MUSTS",5,"#","122","0.020",12,9,"1","2","#","#","#","#"
"5059","mutes",5,"#","103","0.080",8,1,"1","2","#","#","#","#"
"5060","mutts",5,"#","189","0.510",5,22,"1","2","#","#","#","#"
"5061","muzzy",5,"#","65","0.060",1,2,"2","#","#","#","#","#"
"5062","MYERS",5,"#","3,462","#",1,26,"1","1","#","#","#","#"
"5063","mynah",5,"1","51","0.390",0,12,"2","1","#","#","#","#"
"5064","MYRON",5,"#","448","0.550",2,2,"2","#","#","#","#","#"
"5065","Naafi",5,"#","15","#",0,0,"#","#","#","#","#","#"
"5066","nabob",5,"1","10","0.020",0,0,"2","#","#","#","#","#"
"5067","NACHT",5,"#","151","#",1,0,"#","#","#","#","#","#"
"5068","nacre",5,"1","398","#",1,11,"2","#","#","#","#","#"
"5069","nadir",5,"2","226","0.290",0,0,"2","1","#","#","#","#"
"5070","NAGEL",5,"#","480","0.590",1,0,"2","#","#","#","#","#"
"5071","NAGLE",5,"#","498","#",1,0,"2","#","#","#","#","#"
"5072","NAHCE",5,"#","0","#",0,0,"#","#","#","#","#","#"
"5073","naiad",5,"1","15","0.040",0,0,"2","1","#","#","#","#"
"5074","naira",5,"#","2","0.020",0,5,"2","1","#","#","#","#"
"5075","napes",5,"#","8","#",7,10,"1","2","#","#","#","#"
"5076","narks",5,"#","8","#",6,12,"1","2","#","#","#","0.75"
"5077","narky",5,"#","5","0.020",4,7,"2","2","#","#","#","#"
"5078","NATCH",5,"#","301","0.180",9,20,"1","1","#","#","#","0.59"
"5079","Nauru",5,"#","94","#",0,0,"3","#","#","#","#","#"
"5080","naves",5,"#","30","#",12,18,"1","2","#","#","#","#"
"5081","navvy",5,"#","1","#",1,6,"2","1","#","#","#","#"
"5082","NAWTH",5,"#","13","#",0,0,"#","#","#","#","#","#"
"5083","NAXOS",5,"#","253","#",0,0,"2","#","#","#","#","#"
"5084","NDOLA",5,"#","1","#",0,0,"#","#","#","#","#","#"
"5085","ne'er",5,"#","182","#",2,34,"1","1","#","#","#","#"
"5086","neaps",5,"#","1","#",4,16,"1","#","#","#","#","#"
"5087","nears",5,"#","208","0.160",13,26,"1","2","#","#","#","#"
"5088","Negus",5,"1","42","0.040",1,0,"2","1","#","#","#","#"
"5089","NEHRU",5,"#","344","0.100",0,2,"2","1","#","#","#","#"
"5090","netts",5,"#","0","#",3,29,"1","2","#","#","#","#"
"5091","NEVAH",5,"#","40","#",1,0,"#","#","#","#","#","#"
"5092","NEVEH",5,"#","1","#",2,0,"#","#","#","#","#","#"
"5093","newel",5,"1","10","0.060",2,3,"1","1","#","#","#","#"
"5094","newsy",5,"1","207","0.040",1,7,"2","3","#","#","#","#"
"5095","nexus",5,"1","1,932","1.120",1,2,"2","1","#","#","#","#"
"5096","nicks",5,"#","684","0.710",10,29,"1","2","#","#","#","#"
"5097","niffy",5,"#","4","#",2,0,"#","#","#","#","#","#"
"5098","NIKKO",5,"#","102","#",0,3,"2","1","#","#","#","#"
"5099","NILLY",5,"#","71","#",8,24,"2","#","#","#","#","#"
"5100","nimbi",5,"#","0","#",0,0,"#","#","#","#","#","#"
"5101","NIOBE",5,"#","19","0.730",0,0,"2","1","#","#","#","#"
"5102","nitre",5,"#","13","0.020",4,5,"2","#","#","#","#","#"
"5103","NIVEN",5,"#","672","#",2,0,"2","#","#","#","#","#"
"5104","nixed",5,"#","188","0.160",3,4,"1","#","#","#","#","#"
"5105","nixes",5,"#","44","#",5,4,"2","#","#","#","#","#"
"5106","NJUST",5,"#","1","#",0,0,"#","#","#","#","#","#"
"5107","nobly",5,"#","73","0.430",1,1,"2","2","#","#","#","#"
"5108","NOCES",5,"#","14","#",5,0,"#","#","#","#","#","#"
"5109","nodal",5,"#","129","0.020",1,9,"2","2","#","#","#","#"
"5110","Noels",5,"#","8","#",0,1,"2","2","#","#","#","#"
"5111","NOGAY",5,"#","4","#",0,0,"#","#","#","#","#","#"
"5112","NOGOL",5,"#","0","#",1,0,"#","#","#","#","#","#"
"5113","NOIRE",5,"#","196","0.020",4,2,"1","1","#","#","#","#"
"5114","NOLAN",5,"#","2,288","#",1,2,"2","1","#","#","#","#"
"5115","NOLLE",5,"#","14","0.040",1,26,"2","#","#","#","#","#"
"5116","NOMIA",5,"#","8","#",0,0,"#","#","#","#","#","#"
"5117","nonce",5,"1","85","0.060",1,6,"1","1","#","#","#","#"
"5118","nosed",5,"#","215","0.060",5,4,"1","2","#","#","#","#"
"5119","NOTRE",5,"#","2,768","1.960",3,0,"2","1","#","#","#","#"
"5120","NOTTE",5,"#","73","#",2,42,"1","#","#","#","#","#"
"5121","NOUGH",5,"#","47","#",9,0,"#","#","#","#","#","0.82"
"5122","novae",5,"#","70","0.020",2,0,"#","#","#","#","#","#"
"5123","NOVAK",5,"#","1,896","#",2,0,"2","1","#","#","#","#"
"5124","novas",5,"#","214","#",2,1,"2","2","#","#","#","#"
"5125","NOYES",5,"#","165","#",4,20,"1","1","#","#","#","#"
"5126","NOZZE",5,"#","38","#",0,0,"#","#","#","#","#","#"
"5127","numbs",5,"#","48","0.180",0,15,"1","2","#","#","#","#"
"5128","NUNES",5,"#","132","#",6,14,"1","#","#","#","#","#"
"5129","NUOVO",5,"#","273","#",0,0,"2","#","#","#","#","#"
"5130","NUPER",5,"#","1","#",1,0,"#","#","#","#","#","#"
"5131","OAKES",5,"#","335","#",13,14,"1","1","#","#","#","#"
"5132","oakum",5,"1","2","0.080",0,3,"2","#","#","#","#","#"
"5133","oasts",5,"#","0","#",7,1,"1","2","#","#","#","#"
"5134","OATHE",5,"#","2","#",3,0,"#","#","#","#","#","#"
"5135","oaves",5,"#","1","#",11,0,"#","#","#","#","#","#"
"5136","obeah",5,"#","16","0.180",0,2,"3","#","#","#","#","#"
"5137","oboes",5,"#","54","0.040",0,3,"2","2","#","#","#","#"
"5138","odder",5,"#","75","0.040",4,13,"2","2","#","#","#","#"
"5139","ODELL",5,"#","374","1.370",0,1,"2","#","#","#","#","#"
"5140","ODILO",5,"#","8","#",0,0,"#","#","#","#","#","#"
"5141","odium",5,"#","30","#",1,3,"2","1","#","#","#","#"
"5142","odour",5,"#","155","0.450",0,15,"2","1","#","#","#","#"
"5143","offal",5,"#","137","0.180",0,3,"2","1","#","#","#","#"
"5144","OGDEN",5,"#","775","#",1,0,"2","1","#","#","#","#"
"5145","ogles",5,"#","8","#",2,5,"2","2","#","#","#","#"
"5146","ogres",5,"#","234","0.550",1,9,"2","2","#","#","#","#"
"5147","OHMIC",5,"1","38","#",0,1,"2","2","#","#","#","#"
